time,dist,h_dist,v_dist,avgPower,snr,avgSnr,path_loss,avg_pl,used_freq
3.0000002,33.660503,31.533401,11.776,-1.8661453,[-6.47748596 -6.60158611 -6.71982606 -5.81550221],-6.403600086456311,[71.95036178 72.00926949 71.92131446 74.09688564],72.49445783876429,3281.74496
3.4,33.660156,31.533401,11.775,-1.4216444,[-5.95130676 -6.03882218 -6.00944892 -5.2221339 ],-5.805427941483602,[71.6509527  71.5073458  71.43707614 73.60445358],72.04995705558336,3467.08362
3.8000002,33.657356,31.533401,11.767,-0.6130449,[-5.03087752 -5.12530105 -5.14011984 -4.44850964],-4.936202010176366,[70.89193129 70.74317647 70.62902221 72.70130011],71.24135752285977,3560.92745
4.2000003,33.65666,31.533401,11.765,-0.40310094,[-4.94128513 -5.04142987 -5.06245469 -4.40887721],-4.863511725790653,[70.57072014 70.54385005 70.47059678 72.54048725],71.03141355524482,3449.014
4.6,33.658405,31.533401,11.77,-1.3506055,[-5.1826363  -5.44888451 -5.4154837  -4.69378508],-5.18519739569556,[71.48265075 71.50702367 71.39461757 73.53138038],71.97891809340655,3662.499973
5.0,33.656307,31.533401,11.764,-1.8813537,[-6.58345819 -6.93253816 -6.94262858 -6.00030606],-6.614732746397719,[72.17728923 71.94478086 71.83449189 74.0821033 ],72.50966631915924,3679.54469
5.4,33.652466,31.533401,11.753,-1.0736359,[-5.64307872 -5.56351827 -5.56553134 -4.77278574],-5.386228516795976,[71.40554309 71.07617422 71.01401485 73.31206218],71.70194858666355,3182.4576
5.8,33.648277,31.533401,11.741,-0.38498554,[-4.82511868 -4.94015779 -4.99336992 -4.33558898],-4.773558845860777,[70.60940508 70.49091246 70.46102754 72.49184743],71.01329812772387,3883.25078
6.2000003,33.64688,31.533401,11.737,-0.9029048,[-4.93236591 -5.13068243 -5.17981576 -4.41810423],-4.9152420830982,[70.97540524 71.04084265 70.97436766 73.13425415],71.53121742728092,3749.091988
6.6,33.64758,31.533401,11.739,-1.7842758,[-6.05374744 -6.40224213 -6.36259471 -5.53906619],-6.089412618129043,[71.99322281 71.84819244 71.84061287 73.9683256 ],72.41258843169445,3452.57393
7.0,33.649673,31.533401,11.745,-1.4735657,[-6.15638044 -5.98259785 -5.95141942 -5.06651025],-5.78922699197913,[71.81742063 71.51827276 71.35107529 73.7207444 ],72.1018782698894,3709.674755
7.4,33.65002,31.533401,11.746,-0.3615627,[-5.15997059 -5.18397046 -5.16014194 -4.43752801],-4.9854027520266015,[70.57293627 70.39010216 70.34844544 72.64801735],70.98987530556215,4095.31885
7.8,33.649673,31.533401,11.745,-1.0122087,[-5.10278085 -5.23578285 -5.27846402 -4.57814462],-5.048793085296751,[71.10983945 71.14568718 71.0846717  73.22188697],71.64052132527324,3674.731002
8.2,33.649323,31.533401,11.744,-1.8492597,[-6.35675344 -6.60414631 -6.6336853  -5.73780206],-6.333096777731706,[71.97166437 71.92507249 71.88116506 74.13238758],72.47757237577068,3773.780594
8.6,33.647926,31.533401,11.74,-1.1648515,[-5.58668988 -5.64464058 -5.6055554  -4.85450165],-5.422846874865386,[71.46390537 71.23607327 71.11992191 73.35275598],71.79316413228476,3477.33316
